MonthName,Year,value
April,1998,0.19
June,1998,0.16
August,1998,0.08
October,1998,0.09999999999999999
November,1998,0.10000000000000002
December,1998,0.06666666666666667
January,1999,0.06333333333333334
February,1999,0.013333333333333334
March,1999,0.08
April,1999,0.11
May,1999,0.05333333333333334
June,1999,0.1366666666666667
July,1999,0.09
August,1999,0.08333333333333333
September,1999,0.05666666666666667
October,1999,0.06333333333333334
November,1999,0.05000000000000001
December,1999,0.04666666666666667
January,2000,0.05666666666666667
February,2000,0.07
March,2000,0.03333333333333333
April,2000,0.15333333333333335
May,2000,0.07
June,2000,0.11666666666666665
July,2000,0.02
August,2000,0.17
September,2000,0.05666666666666667
October,2000,0.13333333333333333
November,2000,0.14
December,2000,0.13333333333333333
January,2001,0.05000000000000001
February,2001,0.10000000000000002
March,2001,0.04
April,2001,0.08
May,2001,0.09000000000000001
June,2001,0.11
July,2001,0.08333333333333333
August,2001,0.09999999999999999
September,2001,0.06333333333333334
January,2002,0.02666666666666667
February,2002,0.09333333333333334
March,2002,0.03333333333333333
April,2002,0.02666666666666667
May,2002,0.04666666666666667
June,2002,0.06
July,2002,0.03
August,2002,0.06
September,2002,0.07666666666666666
October,2002,0.09333333333333332
December,2002,0.04
February,2003,0.022333333333333334
March,2003,0.07100000000000001
April,2003,0.02366666666666667
May,2003,0.031
June,2003,0.022000000000000002
July,2003,0.06166666666666667
August,2003,0.032
September,2003,0.20633333333333334
October,2003,0.21433333333333335
November,2003,0.104
December,2003,0.09200000000000001
January,2004,0.020666666666666667
September,2004,0.026999999999999996
October,2004,0.11366666666666665
December,2004,0.09599999999999999
January,2005,0.12866666666666668
February,2005,0.153
March,2005,0.08066666666666666
April,2005,0.145
May,2005,0.04666666666666666
July,2005,0.06633333333333334
August,2005,0.171
September,2005,0.04
October,2005,0.06533333333333334
November,2005,0.28099999999999997
December,2005,0.06066666666666667
January,2006,0.18866666666666668
February,2006,0.14033333333333334
March,2006,0.21233333333333335
April,2006,0.12166666666666666
May,2006,0.134
June,2006,0.051333333333333335
July,2006,0.103
August,2006,0.11299999999999999
September,2006,0.085
October,2006,0.16566666666666666
November,2006,0.12166666666666666
December,2006,0.06766666666666667
January,2007,0.09533333333333334
February,2007,0.10266666666666667
March,2007,0.25899999999999995
April,2007,0.105
May,2007,0.14233333333333334
June,2007,0.13699999999999998
July,2007,0.079
August,2007,0.16233333333333333
September,2007,0.12666666666666668
October,2007,0.106
November,2007,0.15
December,2007,0.106
February,2008,0.07840000000000001
March,2008,0.3026666666666667
April,2008,0.11366666666666665
May,2008,0.11233333333333334
June,2008,0.09066666666666667
July,2008,0.166
August,2008,0.07163333333333334
September,2008,0.20620000000000002
October,2008,0.1417
November,2008,0.08966666666666667
December,2008,0.0981
January,2009,0.10136666666666666
February,2009,0.11533333333333333
March,2009,0.13466666666666668
April,2009,0.12033333333333333
May,2009,0.1396666666666667
June,2009,0.026066666666666665
July,2009,0.034
August,2009,0.09323333333333333
September,2009,0.11173333333333334
October,2009,0.2668
November,2009,0.067
December,2009,0.09533333333333334
January,2010,0.126
February,2010,0.20709999999999998
March,2010,0.0613
April,2010,0.296
May,2010,0.037
June,2010,0.05933333333333333
July,2010,0.059
August,2010,0.06266666666666666
September,2010,0.06566666666666666
October,2010,0.064
November,2010,0.06533333333333334
December,2010,0.057666666666666665
January,2011,0.07166666666666667
February,2011,0.11766666666666666
March,2011,0.056
April,2011,0.043333333333333335
May,2011,0.045500000000000006
June,2011,0.05666666666666667
July,2011,0.059166666666666666
August,2011,0.06
September,2011,0.04133333333333333
October,2011,0.12466666666666666
November,2011,0.08316666666666667
December,2011,0.12833333333333333
January,2012,0.038
February,2012,0.06999999999999999
March,2012,0.07733333333333332
April,2012,0.035
May,2012,0.048666666666666664
June,2012,0.06433333333333334
July,2012,0.10433333333333333
September,2012,0.20183333333333334
October,2012,0.09700000000000002
November,2012,0.079
December,2012,0.030666666666666665
January,2013,0.12233333333333334
February,2013,0.055
March,2013,0.08166666666666667
April,2013,0.04700000000000001
May,2013,0.01
June,2013,0.025666666666666667
July,2013,0.054
August,2013,0.02033333333333333
September,2013,0.068
October,2013,0.050333333333333334
November,2013,0.11866666666666666
December,2013,0.055999999999999994
January,2014,0.09033333333333333
March,2014,0.11066666666666668
April,2014,0.11599999999999999
May,2014,0.11533333333333333
June,2014,0.06433333333333334
July,2014,0.265
August,2014,0.049999999999999996
September,2014,0.062
October,2014,0.07966666666666666
November,2014,0.073
December,2014,0.063
January,2015,0.09166666666666667
February,2015,0.06933333333333333
March,2015,0.09366666666666668
April,2015,0.09766666666666668
May,2015,0.07633333333333332
June,2015,0.09666666666666668
July,2015,0.10066666666666667
August,2015,0.050666666666666665
September,2015,0.067
October,2015,0.138
November,2015,0.108
December,2015,0.09566666666666668
January,2016,0.073
February,2016,0.08833333333333333
March,2016,0.11066666666666668
April,2016,0.108
May,2016,0.13533333333333333
June,2016,0.08800000000000001
July,2016,0.10866666666666668
August,2016,0.15366666666666665
September,2016,0.12066666666666666
October,2016,0.09899999999999999
November,2016,0.157
December,2016,0.105
