MonthName,Year,value
April,1998,0.54
June,1998,0.6
August,1998,0.05
October,1998,0.27
November,1998,0.1
December,1998,0.15
January,1999,0.15
February,1999,0.47
March,1999,0.01
April,1999,0.22
May,1999,0.13
June,1999,0.12
July,1999,0.1
August,1999,0.06
September,1999,0.08
October,1999,0.07
November,1999,0.08
December,1999,0.08
January,2000,0.05
February,2000,0.02
March,2000,0.15
April,2000,0.1
May,2000,0.06
June,2000,0.09
July,2000,0.02
August,2000,0.17
September,2000,0.02
October,2000,0.13
November,2000,0.05
December,2000,0.05
January,2001,0.1
February,2001,0.17
March,2001,0.09
April,2001,0.07
May,2001,0.06
June,2001,0.12
July,2001,0.07
August,2001,0.1
September,2001,0.06
February,2002,0.06
March,2002,0.05
April,2002,0.02
May,2002,0.03
June,2002,0.03
July,2002,0.06
August,2002,0.03
September,2002,0.04
October,2002,0.09000000000000001
December,2002,0.02
February,2003,0.082
March,2003,0.173
April,2003,0.012
May,2003,0.056
June,2003,0.029
July,2003,0.065
August,2003,0.078
September,2003,0.014
October,2003,0.172
November,2003,0.108
December,2003,0.028
January,2004,0.042
September,2004,0.088
October,2004,0.086
December,2004,0.095
January,2005,0.064
February,2005,0.168
March,2005,0.042
April,2005,0.349
May,2005,0.01
July,2005,0.119
August,2005,0.108
September,2005,0.038
October,2005,0.125
November,2005,0.145
December,2005,0.016
January,2006,0.037
February,2006,0.155
March,2006,0.117
April,2006,0.245
May,2006,0.073
June,2006,0.034
July,2006,0.212
August,2006,0.685
September,2006,0.093
October,2006,0.253
November,2006,0.432
December,2006,0.109
January,2007,0.074
February,2007,0.302
March,2007,0.1068
April,2007,0.172
May,2007,0.959
June,2007,0.124
July,2007,0.2509
August,2007,0.098
September,2007,0.979
October,2007,0.2532
November,2007,0.498
December,2007,0.253
March,2008,0.08
May,2008,0.10600000000000001
June,2008,0.549
July,2008,0.419
August,2008,0.0907
September,2008,0.085
October,2008,0.0607
November,2008,0.0736
December,2008,0.08585000000000001
January,2009,0.101
February,2009,0.098
March,2009,0.061
April,2009,0.079
May,2009,0.1235
June,2009,0.01
July,2009,0.0304
August,2009,0.0917
September,2009,0.316
October,2009,0.061
November,2009,0.024
December,2009,0.0314
January,2010,0.1645
February,2010,0.0903
March,2010,0.069
April,2010,0.1115
May,2010,0.015
June,2010,0.044
July,2010,0.045
August,2010,0.043
September,2010,0.046
October,2010,0.101
November,2010,0.039
December,2010,0.112
January,2011,0.164
February,2011,0.038
March,2011,0.081
April,2011,0.038
May,2011,0.038
June,2011,0.044
August,2011,0.0455
September,2011,0.038
November,2011,0.051500000000000004
December,2011,0.086
February,2012,0.032
March,2012,0.066
April,2012,0.0
May,2012,0.068
July,2012,0.22325
August,2012,0.022
October,2012,0.079
November,2012,0.09066666666666667
December,2012,0.0695
January,2013,0.094
February,2013,0.09100000000000001
March,2013,0.00525
April,2013,0.0335
May,2013,0.061
June,2013,0.218
July,2013,0.044000000000000004
August,2013,0.0175
September,2013,0.042499999999999996
October,2013,0.057
November,2013,0.0885
December,2013,0.033
January,2014,0.044
March,2014,0.084
April,2014,0.027999999999999997
May,2014,0.12966666666666668
June,2014,0.11325
July,2014,0.032
August,2014,0.12566666666666668
September,2014,0.03266666666666667
October,2014,0.0495
November,2014,0.06433333333333334
December,2014,0.056333333333333326
January,2015,0.05500000000000001
February,2015,0.086
March,2015,0.10300000000000001
April,2015,0.047
May,2015,0.0765
June,2015,0.1785
July,2015,0.0405
August,2015,0.029666666666666664
September,2015,0.0875
October,2015,0.0685
November,2015,0.03366666666666667
December,2015,0.019
January,2016,0.048
February,2016,0.09200000000000001
March,2016,0.07450000000000001
April,2016,0.111
May,2016,0.1085
June,2016,0.07500000000000001
July,2016,0.13866666666666666
August,2016,0.0685
September,2016,0.064
October,2016,0.036
November,2016,0.052000000000000005
December,2016,0.082
