MonthName,Year,value
January,2009,0.312
February,2009,0.131
March,2009,0.152
April,2009,0.081
May,2009,0.253
June,2009,0.18
July,2009,0.185
August,2009,0.195
September,2009,0.161
October,2009,0.381
November,2009,0.219
December,2009,0.137
January,2010,0.2145
February,2010,0.305
March,2010,0.15833333333333333
April,2010,0.086
May,2010,0.10450000000000001
June,2010,0.257
July,2010,0.221
August,2010,0.23199999999999998
September,2010,0.1865
October,2010,0.252
November,2010,0.213
December,2010,0.197
January,2011,0.132
February,2011,0.2495
March,2011,0.2733333333333334
April,2011,0.091
May,2011,0.153
June,2011,0.222
July,2011,0.28
August,2011,0.1535
September,2011,0.1295
October,2011,0.2495
November,2011,0.11249999999999999
December,2011,0.201
January,2012,0.222
February,2012,0.196
March,2012,0.21666666666666665
April,2012,0.1945
May,2012,0.21066666666666667
July,2012,0.125
August,2012,0.13
September,2012,0.2125
October,2012,0.3295
November,2012,0.1775
December,2012,0.0435
January,2013,0.126
February,2013,0.113
March,2013,0.198
April,2013,0.158
May,2013,0.179
June,2013,0.2269
July,2013,0.388
August,2013,0.18
September,2013,0.079
October,2013,0.301
November,2013,0.258
December,2013,0.278
January,2014,0.215
March,2014,0.179
May,2014,0.159
June,2014,0.193
July,2014,0.204
September,2014,0.147
October,2014,0.248
November,2014,0.3175
December,2014,0.3875
January,2015,0.196
February,2015,0.222
March,2015,0.134
April,2015,0.173
May,2015,0.163
June,2015,0.176
July,2015,0.166
August,2015,0.128
September,2015,0.238
October,2015,0.154
November,2015,0.253
December,2015,0.192
February,2016,0.2845
March,2016,0.179
April,2016,0.14
May,2016,0.109
June,2016,0.133
July,2016,0.124
August,2016,0.159
September,2016,0.16
October,2016,0.273
November,2016,0.1519
December,2016,0.152
