Index,Chemical,Count
Jan-09,Ammonium,1
Jan-09,Anionic active surfactants,0
Jan-09,Arsenic,0
Jan-09,Bicarbonates,0
Jan-09,Biochemical Oxygen,0
Jan-09,Cadmium,0
Jan-09,Calcium,0
Jan-09,Chemical Oxygen Demand (Cr),0
Jan-09,Chemical Oxygen Demand (Mn),0
Jan-09,Chromium,1
Jan-09,Copper,0
Jan-09,Dissolved oxygen,0
Jan-09,Iron,1
Jan-09,Lead,1
Jan-09,Manganese,0
Jan-09,Nickel,0
Jan-09,Nitrates,0
Jan-09,Nitrites,0
Jan-09,Organic nitrogen,2
Jan-09,Orthophosphate-phosphorus,1
Jan-09,Oxygen saturation,1
Jan-09,Sodium,0
Jan-09,Sulphates,0
Jan-09,Total dissolved salts,0
Jan-09,Total nitrogen,1
Jan-09,Total phosphorus,1
Jan-09,Water temperature,0
Jan-09,Zinc,1
Feb-09,Ammonium,0
Feb-09,Arsenic,0
Feb-09,Biochemical Oxygen,0
Feb-09,Cadmium,0
Feb-09,Chemical Oxygen Demand (Cr),1
Feb-09,Chemical Oxygen Demand (Mn),0
Feb-09,Copper,0
Feb-09,Dissolved oxygen,0
Feb-09,Dissolved silicates,0
Feb-09,Iron,0
Feb-09,Lead,1
Feb-09,Manganese,0
Feb-09,Nickel,0
Feb-09,Nitrates,0
Feb-09,Nitrites,0
Feb-09,Oxygen saturation,1
Feb-09,Water temperature,0
Feb-09,Zinc,1
Mar-09,Ammonium,0
Mar-09,Anionic active surfactants,0
Mar-09,Arsenic,0
Mar-09,Bicarbonates,0
Mar-09,Biochemical Oxygen,0
Mar-09,Cadmium,0
Mar-09,Calcium,0
Mar-09,Chemical Oxygen Demand (Cr),0
Mar-09,Chemical Oxygen Demand (Mn),0
Mar-09,Chlorides,0
Mar-09,Chromium,1
Mar-09,Copper,1
Mar-09,Dissolved oxygen,0
Mar-09,Dissolved silicates,0
Mar-09,Iron,0
Mar-09,Lead,1
Mar-09,Magnesium,0
Mar-09,Manganese,0
Mar-09,Nickel,0
Mar-09,Nitrates,0
Mar-09,Nitrites,0
Mar-09,Organic nitrogen,2
Mar-09,Orthophosphate-phosphorus,0
Mar-09,Oxygen saturation,1
Mar-09,Sodium,0
Mar-09,Sulphates,0
Mar-09,Total coliforms,0
Mar-09,Total dissolved salts,0
Mar-09,Total nitrogen,1
Mar-09,Total phosphorus,1
Mar-09,Water temperature,0
Mar-09,Zinc,1
Apr-09,Ammonium,0
Apr-09,Anionic active surfactants,0
Apr-09,Bicarbonates,0
Apr-09,Biochemical Oxygen,0
Apr-09,Calcium,0
Apr-09,Chemical Oxygen Demand (Mn),0
Apr-09,Chlorides,0
Apr-09,Chromium,1
Apr-09,Dissolved oxygen,0
Apr-09,Dissolved silicates,0
Apr-09,Magnesium,0
Apr-09,Nitrates,0
Apr-09,Nitrites,0
Apr-09,Organic nitrogen,2
Apr-09,Orthophosphate-phosphorus,0
Apr-09,Oxygen saturation,1
Apr-09,Sodium,0
Apr-09,Sulphates,0
Apr-09,Total coliforms,0
Apr-09,Total dissolved salts,0
Apr-09,Total nitrogen,1
