Index,Chemical,Count
Apr-98,AOX,0
Apr-98,Ammonium,1
Apr-98,Arsenic,0
Apr-98,Atrazine,0
Apr-98,Biochemical Oxygen,0
Apr-98,Cadmium,1
Apr-98,Calcium,0
Apr-98,Cesium,0
Apr-98,Chemical Oxygen Demand (Cr),0
Apr-98,Chemical Oxygen Demand (Mn),0
Apr-98,Chlorides,0
Apr-98,Chromium,1
Apr-98,Copper,1
Apr-98,Dissolved oxygen,0
Apr-98,Fecal coliforms,0
Apr-98,Iron,1
Apr-98,Lead,1
Apr-98,Macrozoobenthos,0
Apr-98,Magnesium,0
Apr-98,Manganese,1
Apr-98,Mercury,0
Apr-98,Nickel,1
Apr-98,Nitrates,0
Apr-98,Nitrites,0
Apr-98,Orthophosphate-phosphorus,1
Apr-98,Potassium,0
Apr-98,Sodium,0
Apr-98,Sulphates,0
Apr-98,Total coliforms,0
Apr-98,Total phosphorus,1
Apr-98,Water temperature,0
Apr-98,Zinc,1
Apr-98,gamma-Hexachlorocyclohexane,0
Jun-98,AOX,0
Jun-98,Ammonium,1
Jun-98,Arsenic,0
Jun-98,Atrazine,0
Jun-98,Biochemical Oxygen,0
Jun-98,Cadmium,1
Jun-98,Calcium,0
Jun-98,Cesium,0
Jun-98,Chemical Oxygen Demand (Cr),0
Jun-98,Chemical Oxygen Demand (Mn),0
Jun-98,Chlorides,0
Jun-98,Chromium,1
Jun-98,Copper,0
Jun-98,Dissolved oxygen,0
Jun-98,Fecal coliforms,0
Jun-98,Iron,1
Jun-98,Lead,1
Jun-98,Macrozoobenthos,0
Jun-98,Magnesium,0
Jun-98,Manganese,1
Jun-98,Mercury,0
Jun-98,Nickel,0
Jun-98,Nitrates,0
Jun-98,Nitrites,0
Jun-98,Orthophosphate-phosphorus,1
Jun-98,Potassium,0
Jun-98,Sodium,1
Jun-98,Sulphates,0
Jun-98,Total coliforms,0
Jun-98,Total phosphorus,1
Jun-98,Water temperature,0
Jun-98,Zinc,1
Jun-98,gamma-Hexachlorocyclohexane,0
Aug-98,AOX,0
Aug-98,Ammonium,1
Aug-98,Arsenic,0
Aug-98,Atrazine,0
Aug-98,Biochemical Oxygen,0
Aug-98,Cadmium,0
Aug-98,Calcium,0
Aug-98,Cesium,0
Aug-98,Chemical Oxygen Demand (Cr),0
Aug-98,Chemical Oxygen Demand (Mn),0
Aug-98,Chlorides,0
Aug-98,Chromium,0
Aug-98,Copper,0
Aug-98,Dissolved oxygen,0
Aug-98,Fecal coliforms,0
Aug-98,Iron,1
Aug-98,Lead,1
Aug-98,Macrozoobenthos,0
Aug-98,Magnesium,0
Aug-98,Manganese,1
Aug-98,Mercury,0
Aug-98,Nickel,1
Aug-98,Nitrates,0
Aug-98,Nitrites,0
Aug-98,Orthophosphate-phosphorus,0
Aug-98,Potassium,0
Aug-98,Sodium,0
Aug-98,Sulphates,0
Aug-98,Total coliforms,0
Aug-98,Total phosphorus,1
Aug-98,Water temperature,0
Aug-98,Zinc,1
Oct-98,AOX,0
Oct-98,Ammonium,1
Oct-98,Arsenic,0
Oct-98,Atrazine,0
Oct-98,Biochemical Oxygen,0
Oct-98,Cadmium,0
Oct-98,Calcium,0
Oct-98,Cesium,0
Oct-98,Chemical Oxygen Demand (Cr),0
Oct-98,Chemical Oxygen Demand (Mn),0
Oct-98,Chlorides,0
Oct-98,Chromium,1
Oct-98,Copper,1
Oct-98,Dissolved oxygen,0
Oct-98,Fecal coliforms,0
Oct-98,Iron,0
Oct-98,Lead,1
Oct-98,Macrozoobenthos,0
Oct-98,Magnesium,0
Oct-98,Manganese,1
Oct-98,Mercury,0
Oct-98,Nickel,0
Oct-98,Nitrates,0
Oct-98,Nitrites,0
Oct-98,Orthophosphate-phosphorus,1
Oct-98,Potassium,0
Oct-98,Sodium,0
Oct-98,Sulphates,0
Oct-98,Total coliforms,0
Oct-98,Total phosphorus,1
Oct-98,Water temperature,0
Oct-98,Zinc,1
Nov-98,AOX,0
Nov-98,Ammonium,1
Nov-98,Arsenic,0
Nov-98,Atrazine,0
Nov-98,Biochemical Oxygen,0
Nov-98,Cadmium,0
Nov-98,Calcium,0
Nov-98,Cesium,0
Nov-98,Chemical Oxygen Demand (Cr),1
Nov-98,Chemical Oxygen Demand (Mn),1
Nov-98,Chlorides,0
Nov-98,Chromium,0
Nov-98,Copper,1
Nov-98,Dissolved oxygen,0
Nov-98,Fecal coliforms,0
Nov-98,Iron,0
Nov-98,Lead,1
Nov-98,Macrozoobenthos,0
Nov-98,Magnesium,0
Nov-98,Manganese,1
Nov-98,Mercury,0
Nov-98,Nickel,0
Nov-98,Nitrates,0
Nov-98,Nitrites,0
Nov-98,Orthophosphate-phosphorus,1
Nov-98,Potassium,0
Nov-98,Sodium,0
Nov-98,Sulphates,0
Nov-98,Total coliforms,0
Nov-98,Total phosphorus,1
Nov-98,Water temperature,0
Nov-98,Zinc,0
Dec-98,AOX,0
Dec-98,Ammonium,1
Dec-98,Arsenic,0
Dec-98,Atrazine,0
Dec-98,Biochemical Oxygen,0
Dec-98,Cadmium,0
Dec-98,Calcium,0
Dec-98,Cesium,0
Dec-98,Chemical Oxygen Demand (Cr),0
Dec-98,Chemical Oxygen Demand (Mn),0
Dec-98,Chlorides,0
Dec-98,Chromium,1
Dec-98,Copper,1
Dec-98,Dissolved oxygen,0
Dec-98,Fecal coliforms,0
Dec-98,Iron,0
Dec-98,Lead,1
Dec-98,Macrozoobenthos,0
Dec-98,Magnesium,0
Dec-98,Manganese,1
Dec-98,Mercury,0
Dec-98,Nickel,0
Dec-98,Nitrates,0
Dec-98,Nitrites,0
Dec-98,Orthophosphate-phosphorus,1
Dec-98,Potassium,0
Dec-98,Sodium,0
Dec-98,Sulphates,0
Dec-98,Total coliforms,0
Dec-98,Total phosphorus,1
Dec-98,Water temperature,0
Dec-98,Zinc,1
Jan-99,Ammonium,1
Jan-99,Anionic active surfactants,0
Jan-99,Bicarbonates,0
Jan-99,Biochemical Oxygen,0
Jan-99,Cadmium,1
Jan-99,Calcium,0
Jan-99,Chemical Oxygen Demand (Cr),1
Jan-99,Chemical Oxygen Demand (Mn),0
Jan-99,Chlorides,0
Jan-99,Chromium,1
Jan-99,Copper,1
Jan-99,Dissolved oxygen,0
Jan-99,Fecal coliforms,0
Jan-99,Iron,1
Jan-99,Lead,1
