Index,Chemical,Count
Jan-98,AOX,0
Jan-98,Ammonium,7
Jan-98,Arsenic,0
Jan-98,Atrazine,0
Jan-98,Biochemical Oxygen,0
Jan-98,Cadmium,0
Jan-98,Calcium,0
Jan-98,Cesium,0
Jan-98,Chemical Oxygen Demand (Cr),0
Jan-98,Chemical Oxygen Demand (Mn),0
Jan-98,Chlorides,0
Jan-98,Chromium,1
Jan-98,Copper,1
Jan-98,Dissolved oxygen,0
Jan-98,Fecal coliforms,0
Jan-98,Iron,1
Jan-98,Lead,0
Jan-98,Macrozoobenthos,0
Jan-98,Magnesium,0
Jan-98,Manganese,0
Jan-98,Mercury,0
Jan-98,Nickel,3
Jan-98,Nitrates,0
Jan-98,Nitrites,0
Jan-98,Orthophosphate-phosphorus,7
Jan-98,Potassium,0
Jan-98,Sodium,0
Jan-98,Sulphates,0
Jan-98,Total coliforms,0
Jan-98,Total phosphorus,7
Jan-98,Water temperature,0
Jan-98,Zinc,0
Feb-98,AOX,0
Feb-98,Ammonium,3
Feb-98,Arsenic,0
Feb-98,Atrazine,0
Feb-98,Biochemical Oxygen,0
Feb-98,Cadmium,0
Feb-98,Calcium,0
Feb-98,Cesium,0
Feb-98,Chemical Oxygen Demand (Cr),0
Feb-98,Chemical Oxygen Demand (Mn),0
Feb-98,Chlorides,0
Feb-98,Chromium,0
Feb-98,Copper,0
Feb-98,Dissolved oxygen,0
Feb-98,Fecal coliforms,0
Feb-98,Iron,2
Feb-98,Lead,0
Feb-98,Macrozoobenthos,0
Feb-98,Magnesium,0
Feb-98,Manganese,0
Feb-98,Mercury,0
Feb-98,Nickel,0
Feb-98,Nitrates,0
Feb-98,Nitrites,0
Feb-98,Orthophosphate-phosphorus,6
Feb-98,Potassium,0
Feb-98,Sodium,0
Feb-98,Sulphates,0
Feb-98,Total coliforms,0
Feb-98,Total phosphorus,7
Feb-98,Water temperature,0
Feb-98,Zinc,0
Mar-98,AOX,0
Mar-98,Ammonium,6
Mar-98,Arsenic,0
Mar-98,Atrazine,0
Mar-98,Biochemical Oxygen,0
Mar-98,Cadmium,0
Mar-98,Calcium,0
Mar-98,Cesium,0
Mar-98,Chemical Oxygen Demand (Cr),0
Mar-98,Chemical Oxygen Demand (Mn),0
Mar-98,Chlorides,0
Mar-98,Chromium,0
Mar-98,Copper,0
Mar-98,Dissolved oxygen,0
Mar-98,Fecal coliforms,0
Mar-98,Iron,1
Mar-98,Lead,3
Mar-98,Macrozoobenthos,0
Mar-98,Magnesium,0
Mar-98,Manganese,0
Mar-98,Mercury,0
Mar-98,Nickel,3
Mar-98,Nitrates,0
Mar-98,Nitrites,0
Mar-98,Orthophosphate-phosphorus,7
Mar-98,Potassium,0
Mar-98,Sodium,0
Mar-98,Sulphates,0
Mar-98,Total coliforms,0
Mar-98,Total phosphorus,7
Mar-98,Water temperature,0
Mar-98,Zinc,0
Apr-98,AOX,0
Apr-98,Ammonium,2
Apr-98,Arsenic,0
Apr-98,Atrazine,0
Apr-98,Biochemical Oxygen,1
Apr-98,Cadmium,2
Apr-98,Calcium,0
Apr-98,Cesium,0
Apr-98,Chemical Oxygen Demand (Cr),0
Apr-98,Chemical Oxygen Demand (Mn),0
Apr-98,Chlorides,0
Apr-98,Chromium,6
Apr-98,Copper,11
Apr-98,Dissolved oxygen,0
Apr-98,Fecal coliforms,0
Apr-98,Iron,10
Apr-98,Lead,11
Apr-98,Macrozoobenthos,0
Apr-98,Magnesium,0
Apr-98,Manganese,3
Apr-98,Mercury,0
Apr-98,Nickel,3
Apr-98,Nitrates,0
Apr-98,Nitrites,0
Apr-98,Orthophosphate-phosphorus,11
Apr-98,Potassium,0
Apr-98,Sodium,0
Apr-98,Sulphates,0
Apr-98,Total coliforms,0
Apr-98,Total phosphorus,11
Apr-98,Water temperature,0
Apr-98,Zinc,2
Apr-98,gamma-Hexachlorocyclohexane,0
Apr-98,"p,p-DDT",0
May-98,AOX,0
May-98,Ammonium,6
May-98,Arsenic,0
May-98,Atrazine,0
May-98,Biochemical Oxygen,0
May-98,Cadmium,0
May-98,Calcium,0
May-98,Cesium,0
May-98,Chemical Oxygen Demand (Cr),0
May-98,Chemical Oxygen Demand (Mn),0
May-98,Chlorides,0
May-98,Chromium,3
May-98,Copper,0
May-98,Dissolved oxygen,0
May-98,Fecal coliforms,0
May-98,Iron,2
May-98,Lead,0
May-98,Macrozoobenthos,0
May-98,Magnesium,0
May-98,Manganese,0
May-98,Mercury,0
May-98,Nickel,6
May-98,Nitrates,0
May-98,Nitrites,0
May-98,Orthophosphate-phosphorus,6
May-98,Potassium,0
May-98,Sodium,0
May-98,Sulphates,0
May-98,Total coliforms,0
May-98,Total phosphorus,8
May-98,Water temperature,0
May-98,Zinc,0
May-98,"p,p-DDT",0
Jun-98,AOX,0
Jun-98,Ammonium,6
Jun-98,Arsenic,0
Jun-98,Atrazine,0
Jun-98,Biochemical Oxygen,1
Jun-98,Cadmium,2
Jun-98,Calcium,0
Jun-98,Cesium,0
Jun-98,Chemical Oxygen Demand (Cr),1
Jun-98,Chemical Oxygen Demand (Mn),0
Jun-98,Chlorides,0
Jun-98,Chromium,6
Jun-98,Copper,8
Jun-98,Dissolved oxygen,0
Jun-98,Fecal coliforms,0
Jun-98,Iron,9
Jun-98,Lead,11
Jun-98,Macrozoobenthos,0
Jun-98,Magnesium,0
Jun-98,Manganese,4
Jun-98,Mercury,0
