Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
2005,Total nitrogen,0.0,0.0,2.6079999999999997,2.0985,0.0,1.9972222222222225,0.0,2.0668333333333333,2.0676666666666668,0.0
2006,Total nitrogen,0.0,0.0,2.8619999999999997,2.392254901960784,0.0,2.6305555555555555,9.64,2.3672222222222223,3.2079999999999997,0.0
2007,Total nitrogen,0.0,0.0,2.9225,2.858636363636364,0.0,2.250972222222222,0.0,2.161611111111111,3.3175000000000003,0.0
2008,Total nitrogen,0.0,0.0,1.9933333333333334,2.036041935483871,0.0,1.8912121212121211,0.0,1.8544444444444446,2.2716666666666665,0.0
2009,Total nitrogen,1.835,1.3059375,2.285,2.0984266666666667,2.791875,2.035026315789474,0.0,1.9971794871794872,2.560833333333333,0.0
2010,Total nitrogen,2.276,0.0,2.105,2.1397435897435897,4.18175,2.1544444444444446,0.0,2.240277777777778,2.3108333333333335,0.0
2011,Total nitrogen,1.5025000000000002,0.0,2.2983333333333333,2.4695238095238095,0.0,2.0573333333333332,0.0,1.9774074074074075,2.4136363636363636,0.0
2012,Total nitrogen,1.35075,0.0,2.0541666666666667,2.4448717948717946,2.9406,2.2024999999999997,4.323333333333334,1.927777777777778,2.4152173913043478,0.0
2013,Total nitrogen,1.4483333333333333,1.4577777777777778,1.9018846153846154,2.1071973684210525,2.665590909090909,1.9852499999999997,4.117999999999999,2.008638888888889,2.2555384615384613,5.4128461538461545
2014,Total nitrogen,1.8,1.6100851063829789,1.8168333333333333,1.858397435897436,4.0,1.7979923076923077,5.809166666666667,1.7738571428571428,2.211653846153846,12.111142857142855
2015,Total nitrogen,1.5725,1.655828125,2.199115384615385,1.9308846153846155,2.3473684210526318,1.8796176470588237,3.97,1.7637575757575759,2.6950833333333333,4.2339166666666666
2016,Total nitrogen,1.1766666666666667,1.4508947368421052,1.7573846153846153,1.8138076923076925,1.6575,1.703611111111111,2.842,1.699121212121212,2.113384615384615,4.542833333333333
