Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Chemical Oxygen Demand (Cr),0.0,5.29047619047619,7.666666666666667,10.431944444444445,0.0,12.1,7.833333333333333,2.8166666666666664,10.333333333333334,0.0
1999,Chemical Oxygen Demand (Cr),0.0,13.6788,32.35,16.75,0.0,18.223333333333336,19.288888888888888,20.15806451612903,38.42,0.0
2000,Chemical Oxygen Demand (Cr),0.0,11.708571428571428,29.525000000000002,19.858333333333334,0.0,22.955555555555556,16.416666666666668,23.680555555555557,32.28333333333333,0.0
2001,Chemical Oxygen Demand (Cr),0.0,12.504166666666668,18.34,16.916666666666668,0.0,19.87272727272727,14.58888888888889,17.793939393939397,19.05,0.0
2002,Chemical Oxygen Demand (Cr),0.0,12.106060606060606,35.9,32.333333333333336,0.0,27.454545454545453,14.13,32.06060606060606,38.0,0.0
2003,Chemical Oxygen Demand (Cr),0.0,10.926842105263159,24.818181818181817,16.375,0.0,16.363636363636363,17.691666666666666,18.484848484848484,27.818181818181817,0.0
2004,Chemical Oxygen Demand (Cr),0.0,9.139846153846154,41.14545454545455,30.48166666666667,0.0,30.62222222222222,15.383333333333333,29.0,42.78,0.0
2005,Chemical Oxygen Demand (Cr),0.0,7.837361111111111,0.0,30.666666666666668,0.0,0.0,16.816666333333334,0.0,0.0,0.0
2006,Chemical Oxygen Demand (Cr),0.0,8.651948275862068,45.68,36.916666666666664,0.0,23.77777777777778,14.072727272727274,19.455555555555556,39.720000000000006,0.0
2007,Chemical Oxygen Demand (Cr),0.0,8.881153846153847,43.63,27.857446808510637,0.0,29.996969696969696,15.85,30.533333333333335,44.654545454545456,0.0
2008,Chemical Oxygen Demand (Cr),0.0,9.567936507936507,38.53636363636364,28.416984126984126,0.0,29.496969696969696,13.590909090909092,29.28277777777778,41.89,0.0
2009,Chemical Oxygen Demand (Cr),7.0249999999999995,8.891272727272726,33.127500000000005,24.218695652173913,26.301,22.167368421052632,11.958333333333334,23.23179487179487,34.70333333333333,48.33833333333333
2010,Chemical Oxygen Demand (Cr),7.183333333333334,9.9846875,31.701666666666668,23.74377777777778,21.587500000000002,23.14,11.424166666666666,26.64888888888889,31.714166666666667,63.20416666666667
2011,Chemical Oxygen Demand (Cr),5.833333333333333,10.69,27.496666666666666,21.236031746031745,16.0575,20.39717948717949,9.706666666666667,23.075384615384614,29.066666666666666,58.07727272727273
2012,Chemical Oxygen Demand (Cr),4.958333333333333,9.883125,33.32692307692308,21.597380952380952,23.27333333333333,23.69972222222222,16.063636363636363,24.656388888888888,32.1275,53.11818181818182
2013,Chemical Oxygen Demand (Cr),2.1666666666666665,11.165277777777778,32.23769230769231,24.59888888888889,24.747500000000002,25.518055555555556,20.25,26.04416666666667,44.68538461538461,68.64623076923077
2014,Chemical Oxygen Demand (Cr),8.75,11.295666666666667,26.300833333333333,22.70212121212121,31.15833333333333,16.60638888888889,32.76916666666667,14.733888888888888,32.515,39.17023076923077
2015,Chemical Oxygen Demand (Cr),11.583333333333334,10.039375,27.819166666666664,21.432051282051283,29.425,13.859166666666667,56.185833333333335,12.23861111111111,27.910833333333333,60.0265
2016,Chemical Oxygen Demand (Cr),10.416666666666666,10.815588235294118,29.540769230769232,23.438888888888886,38.28181818181818,13.413611111111111,45.88583333333333,14.715277777777779,35.61,83.72325
