Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Ammonium,0.0,0.16952380952380952,0.51,0.4252777777777778,0.0,0.22361111111111112,2.963333333333333,0.19083333333333333,1.1166666666666665,0.0
1999,Ammonium,0.0,0.29516129032258054,0.7041666666666666,0.3400000000000001,0.0,0.41805555555555546,1.595,0.4294594594594594,1.3908333333333331,0.0
2000,Ammonium,0.0,0.39171428571428574,1.1458333333333333,0.4380555555555555,0.0,0.5261111111111112,1.965833333333333,0.49166666666666675,1.1550000000000002,0.0
2001,Ammonium,0.0,0.22766666666666674,0.35700000000000004,0.30566666666666664,0.0,0.36424242424242426,1.8236363636363635,0.31787878787878787,0.365,0.0
2002,Ammonium,0.0,0.45158730158730165,0.45928571428571424,0.3474603174603176,0.0,0.2564102564102564,3.1072727272727274,0.23384615384615381,0.49636363636363634,0.0
2003,Ammonium,0.0,0.30426666666666663,0.62,0.43902898550724634,0.0,0.36624999999999996,2.301818181818182,0.4388888888888889,0.7600000000000002,0.0
2004,Ammonium,0.0,0.2455,0.48581818181818187,0.39569841269841277,0.0,0.24259999999999993,1.774166666666667,0.3583030303030302,0.4547999999999999,0.0
2005,Ammonium,0.0,0.23743055555555564,0.40825,0.2646388888888888,0.0,0.24391666666666667,3.5149999999999992,0.35475,0.5000833333333333,0.0
2006,Ammonium,0.0,0.2731571428571428,0.9711666666666666,0.43926388888888895,0.0,0.546936111111111,1.8936363636363638,0.4598611111111111,0.8464166666666667,0.0
2007,Ammonium,0.0,0.39192307692307704,0.6686666666666667,0.4612147058823528,0.0,0.21172222222222226,1.211166666666667,0.22385,0.8120833333333333,0.0
2008,Ammonium,0.0,0.23147619047619053,0.496775,0.33079393939393936,0.0,0.238730303030303,3.402181818181818,0.3041861111111111,0.5282333333333333,0.0
2009,Ammonium,0.16491666666666663,0.30129090909090916,0.23225000000000004,0.160748717948718,0.14366666666666666,0.17805526315789477,4.3675,0.1545282051282051,0.3070833333333333,0.6235
2010,Ammonium,0.11874074074074072,0.20694827586206896,0.21891666666666665,0.18223076923076922,0.6518333333333334,0.14958333333333332,3.4523333333333337,0.20827777777777787,0.33258333333333334,1.1180416666666673
2011,Ammonium,0.08170833333333333,0.13575555555555557,0.33016666666666666,0.21355128205128215,0.13516666666666668,0.16851666666666668,2.9116249999999995,0.15792592592592591,0.2595,0.2879090909090909
2012,Ammonium,0.1415833333333333,0.09054545454545454,0.1714583333333333,0.20706153846153846,0.17925000000000002,0.1308638888888889,2.3789090909090906,0.1335777777777778,0.2014130434782609,0.7773478260869564
2013,Ammonium,0.07558333333333334,0.08205555555555559,0.1399269230769231,0.12806578947368416,0.18695454545454543,0.11133333333333335,2.5625166666666668,0.12544444444444447,0.2007384615384615,1.2097692307692307
2014,Ammonium,0.12416666666666666,0.08801499999999998,0.18633000000000005,0.07813,0.3701923076923077,0.18687499999999996,3.883666666666666,0.19062333333333334,0.27729,5.802714285714287
2015,Ammonium,0.13158333333333333,0.07096874999999998,0.12057692307692307,0.06003717948717947,0.3121923076923077,0.15966666666666662,2.4110416666666663,0.16663888888888886,0.3172692307692308,1.0551666666666668
2016,Ammonium,0.08858333333333335,0.06259999999999999,0.09999999999999999,0.06354358974358974,0.13288461538461538,0.08827777777777775,1.3955000000000002,0.08869444444444444,0.13665384615384613,1.06025
